PassengerID,Name,Birthdate,TravelClass,LoyaltyMember,FlightNumber
1,John Doe,1987-05-21,FIRST_CLASS,True,BA249
2,Jane Smith,1980-11-12,BUSINESS,False,AA100
3,Mia Wong,1992-03-08,ECONOMY,True,BA255
4,Noah Johnson,1995-07-19,ECONOMY,False,AA110
5,Isabella Rossi,1982-08-30,FIRST_CLASS,True,BA249
6,Olivia Brown,1975-02-21,BUSINESS,False,BA256
7,Liam Davis,1965-12-13,ECONOMY,True,AA107
8,Emma Miller,1978-03-30,FIRST_CLASS,True,AA101
9,William Wilson,1968-01-14,ECONOMY,False,AA102
10,Sophia Taylor,1990-04-28,BUSINESS,True,BA257
11,Lucas Anderson,1984-09-16,FIRST_CLASS,False,AA105
12,Amelia Thompson,1970-11-11,ECONOMY,True,BA260
13,Oliver Martinez,1971-07-22,FIRST_CLASS,True,BA249
14,Ava White,1988-03-05,BUSINESS,False,AA108
15,Charlotte Clark,1989-10-30,ECONOMY,True,BA261
16,Ethan Harris,1973-06-19,BUSINESS,True,AA109
17,Ella Moore,1994-02-11,FIRST_CLASS,False,BA270
18,James Robinson,1983-08-20,ECONOMY,True,AA110
19,Alexander Lewis,1972-12-15,BUSINESS,False,BA271
20,Victoria Lee,1990-05-23,FIRST_CLASS,True,AA115
21,Matthew Lopez,1991-07-17,ECONOMY,False,BA272
22,Elizabeth Jackson,1969-04-09,BUSINESS,True,AA120
23,Michael Hill,1987-01-02,ECONOMY,True,BA249
24,Sarah Scott,1978-03-25,FIRST_CLASS,False,AA100
25,Thomas Turner,1986-12-15,ECONOMY,True,BA255
26,Nicole Baker,1995-11-08,BUSINESS,False,AA110
27,Steven Campbell,1972-07-03,FIRST_CLASS,True,BA249
28,Michelle Rivera,1994-09-19,ECONOMY,False,BA256
29,Kevin Evans,1980-05-22,BUSINESS,True,AA107
30,Jessica Edwards,1977-11-30,FIRST_CLASS,True,AA101
31,Brian Morales,1993-03-18,ECONOMY,False,AA102
32,Laura Walker,1989-08-04,BUSINESS,True,BA257
33,Ryan Nelson,1985-11-25,FIRST_CLASS,False,AA105
